DonViId,TenDonVi,DiaChi,Website,MoTa,ChuongTrinh,ChuSoHuu,LaChiNhanh,TinhTrang,GVVN,GVNN,HoatDong,LoaiQuyetDinh,QuyetDinhSo
546,"Công ty TNHH Tư vấn Du học Toàn Thế giới
","25 Trần Thiện Chánh, Phường 12 Quận 10 Thành Phố Hồ Chí Minh","http://www.worldwide-edu.vn/lien-he.html
",None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,139
547,"Công ty TNHH Một thành viên Tư vấn du học Hoàn Vũ
","238-240-242 Hòa Hưng, Phường 13 Quận 10 Thành Phố Hồ Chí Minh","http://www.universalstudy.edu.vn/
",None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,170
548,"Công ty CP Liên hiệp Giáo dục
","21 Mai Thị Lựu, Phường Đa Kao Quận 1 Thành Phố Hồ Chí Minh","http://duhocue.edu.vn/
",None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,272
549,"Công ty TNHH Tư vấn Du học New World
","Tòa nhà SBC, lầu 7,  242 Cống Quỳnh, Phường Phạm Ngũ Lão Quận 1 Thành Phố Hồ Chí Minh","http://newworldedu.vn/
",None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,294
550,"Chi nhánh tại Thành phố Hồ Chí Minh - Công ty CP Quốc tế ICO thuộc Công ty CP Quốc tế ICO
"," 521 đường Lê Đức Thọ, Phường 16 Quận Gò Vấp Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,295
551,"Công ty TNHH TYVY
","44A Đường 39, Phường Tân Quy Quận 7 Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,296
552,"Công ty TNHH Liên kết Giáo dục Phú Hoàn Cầu
","53/9 Nguyễn Hồng Đào, Phường 14 Quận Tân Bình Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,297
553,"Công ty TNHH Thương mại du lịch Liên Bang
","881 Trần Hưng Đạo, Phường 1 Quận 5 Thành Phố Hồ Chí Minh","http://lienbangtravel.com/
",None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,298
554,"Công ty TNHH Một thành viên Tư vấn Thương mại Dịch vụ Trí Tiến
","Lầu 6, Master Building, 41-43 Trần Cao Vân, Phường 6 Quận 3 Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,322
555,"Công ty TNHH Tiếp cận Giáo dục Hoa Kỳ
","56-58-60 Hai Bà Trưng,  Phường Bến Nghé Quận 1 Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,384
556,"Công ty TNHH Một thành viên Giáo dục Thế giới
","161 (lầu 5) Đồng Khởi, Phường Bến Nghé Quận 1 Thành Phố Hồ Chí Minh",None,None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,385
558,"Doanh nghiệp Tư nhân Tư vấn du học Du lịch Hải Thông
","23 Trần Hưng Đạo, Phường 6 Quận 5 Thành Phố Hồ Chí Minh","http://haithongedu.com.vn/index.php?view=trang_chu&lang=en
",None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,450
559,"Công ty TNHH Đầu tư và Tư vấn Giáo dục Quốc tế Đại Dương
","37 Nguyễn Chí Thanh, Phường 9 Quận 5 Thành Phố Hồ Chí Minh","http://www.duhocdaiduong.com/
",None,None,None,0,Đang hoạt động,None,None,Ngoài nhà trường,Quyết Định Thành Lập,539
